qseqid,sseqid,pident,length,accession,ncbi_isolation_source,ncbi_country,gtdb_taxonomy
AB022925.1,GB_GCA_002072575.1~MPHU01000001.1,97.862,1450,GB_GCA_002072575.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_003346375.1~QMJJ01000032.1,97.862,1450,GB_GCA_003346375.1,bryndza cheese,Slovakia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_025211365.1~NZ_RIVM01000005.1,97.862,1450,RS_GCF_025211365.1,cheese (Tamie; caw milk),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002072555.1~MPHT01000001.1,97.862,1450,GB_GCA_002072555.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092375.1~MPEE01000053.1,97.862,1450,GB_GCA_002092375.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_019656075.1~NZ_BPKZ01000020.1,97.792,1449,RS_GCF_019656075.1,Palm wine,Senegal,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc palmae
AB022925.1,RS_GCF_025211355.1~NZ_RIKR01000023.1,97.793,1450,RS_GCF_025211355.1,sugar cane juice,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_025211125.1~NZ_RICO01000095.1,97.793,1450,RS_GCF_025211125.1,wheat and rye sourdough,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_030400235.1~NZ_VJYC01000031.1,97.793,1450,RS_GCF_030400235.1,Apple juice in fermentation (cider),France: Normandie,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_014634765.1~NZ_BMBQ01000038.1,97.793,1450,RS_GCF_014634765.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_020881495.1~NZ_PDDE01000012.1,97.793,1450,RS_GCF_020881495.1,food,Germany,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_025211395.1~NZ_RIKU01000067.1,97.793,1450,RS_GCF_025211395.1,fermented vegetebles,Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_016517085.1~NZ_JACVUF010000017.1,97.793,1450,RS_GCF_016517085.1,Heads,Mexico,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_014634725.1~NZ_BMBO01000027.1,97.793,1450,RS_GCF_014634725.1,Sourdough,China,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,GB_GCA_902363165.1~CABIZG010000002.1,97.793,1450,GB_GCA_902363165.1,human gut,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_026810245.1~NZ_CP113947.1,97.793,1450,RS_GCF_026810245.1,orchard soil,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,GB_GCA_002092535.1~MPLF01000060.1,97.793,1450,GB_GCA_002092535.1,dairy,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092295.1~MPBB01000066.1,97.793,1450,GB_GCA_002092295.1,dairy,Poland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002092235.1~MPBC01000073.1,97.793,1450,GB_GCA_002092235.1,dairy,Poland,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_002095565.1~NZ_MOWQ01000060.1,97.793,1450,RS_GCF_002095565.1,dairy,Norway: Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_016127035.1~CP065975.1,97.793,1450,GB_GCA_016127035.1,none,Germany: Braunschweig,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_029823155.1~NZ_JARACB010000035.1,97.793,1450,RS_GCF_029823155.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_002072585.1~MPHQ01000081.1,97.793,1450,GB_GCA_002072585.1,dairy,Norway,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_030017175.1~NZ_JASDEM010000028.1,97.793,1450,RS_GCF_030017175.1,sugarcane factory,USA: Louisiana,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_000686505.1~JDVA01000019.1,97.793,1450,GB_GCA_000686505.1,undefined mesophilic cheese starter culture,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_000686465.1~JAUI01000054.1,97.793,1450,GB_GCA_000686465.1,mesophilic cheese starter cultures,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_025211065.1~NZ_RIGV01000093.1,97.793,1450,RS_GCF_025211065.1,wheat sourdough,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,GB_GCA_925279165.1~CAKMAH010000055.1,97.793,1450,GB_GCA_925279165.1,fresh curd cheese,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_025188495.1~NZ_RIKY01000027.1,97.792,1449,RS_GCF_025188495.1,milk (Reblochon),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_018991475.1~NZ_JAGYGO010000012.1,97.792,1449,RS_GCF_018991475.1,cucumber fermentation brine,USA: Chaska; MN,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_019655995.1~NZ_BPKV01000020.1,97.723,1449,RS_GCF_019655995.1,coffee fermentation,Ethiopia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc holzapfelii
AB022925.1,RS_GCF_025395235.1~NZ_QVOV01000011.1,97.723,1449,RS_GCF_025395235.1,honeydew melon,Australia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc holzapfelii
AB022925.1,RS_GCF_012396485.1~NZ_JAAXPO010000017.1,97.723,1449,RS_GCF_012396485.1,coffee fermentation,Ethiopia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc holzapfelii
AB022925.1,RS_GCF_018257095.1~NZ_JAERKP010000031.1,97.726,1451,RS_GCF_018257095.1,Apple dumpster,USA: Ithaca; NY,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_014634745.1~NZ_BMBP01000019.1,97.724,1450,RS_GCF_014634745.1,Cane juice,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_029823355.1~NZ_JARGDN010000023.1,97.724,1450,RS_GCF_029823355.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_012396745.1~NZ_JAAXPY010000020.1,97.724,1450,RS_GCF_012396745.1,Cane juice,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_016127255.1~NZ_CP065993.1,97.724,1450,RS_GCF_016127255.1,none,Germany: Braunschweig,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides
AB022925.1,RS_GCF_025211155.1~NZ_RIGU01000093.1,97.724,1450,RS_GCF_025211155.1,wheat sourdough,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc suionicum
AB022925.1,RS_GCF_025211425.1~NZ_RIVN01000037.1,97.724,1450,RS_GCF_025211425.1,plant (decomposed),Italy,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_014634865.1~NZ_BMBT01000026.1,97.724,1450,RS_GCF_014634865.1,Fermenting string beans,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_030017075.1~NZ_JASDEQ010000026.1,97.724,1450,RS_GCF_030017075.1,sugarcane factory,USA: Louisiana,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_016939455.1~NZ_CP070515.1,97.723,1449,RS_GCF_016939455.1,none,Germany: Braunschweig,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc falkenbergense
AB022925.1,RS_GCF_023218865.1~NZ_JAJIAN010000011.1,97.723,1449,RS_GCF_023218865.1,none,Germany: Bavaria,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188785.1~NZ_RILJ01000043.1,97.723,1449,RS_GCF_025188785.1,artisanal goat cheese,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188605.1~NZ_RILD01000069.1,97.723,1449,RS_GCF_025188605.1,whey (from farmer goat cheese),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_030361075.1~NZ_JAUCAN010000059.1,97.723,1449,RS_GCF_030361075.1,cheese,Russia: North Ossetia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188725.1~NZ_RILI01000011.1,97.723,1449,RS_GCF_025188725.1,beet pulp,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_008326545.1~NZ_BJJX01000006.1,97.723,1449,RS_GCF_008326545.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188685.1~NZ_RILF01000004.1,97.723,1449,RS_GCF_025188685.1,whey (from farmer goat cheese),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188575.1~NZ_RILB01000016.1,97.723,1449,RS_GCF_025188575.1,honeydew of rye ear,Algeria,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_001077275.1~NZ_JVUU01000012.1,97.723,1449,RS_GCF_001077275.1,none,USA: WA,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_014927285.1~NZ_JADAXK010000047.1,97.723,1449,RS_GCF_014927285.1,wild Drosophila,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_022832635.1~NZ_JALHKF010000009.1,97.723,1449,RS_GCF_022832635.1,kefir grains,China: Guangdong,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_925293145.1~NZ_CAKMBV010000015.1,97.723,1449,RS_GCF_925293145.1,goat cheese,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188625.1~NZ_RILG01000033.1,97.723,1449,RS_GCF_025188625.1,artisanal goat cheese,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_008326505.1~NZ_BJJW01000012.1,97.723,1449,RS_GCF_008326505.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_007989545.1~NZ_BJUO01000019.1,97.723,1449,RS_GCF_007989545.1,Manju-moto (dough of wheat flour with Koji),Japan,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_002591805.1~NZ_MWJP01000001.1,97.723,1449,RS_GCF_002591805.1,corn fermented beverage,Mexico: Huitzilac; Morelos,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188545.1~NZ_RIKZ01000001.1,97.723,1449,RS_GCF_025188545.1,goat cheese (raw milk),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188705.1~NZ_RILH01000053.1,97.723,1449,RS_GCF_025188705.1,goat cheese (raw milk),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_027676085.1~NZ_JAQEOX010000012.1,97.723,1449,RS_GCF_027676085.1,fecal material [ENVO:00002003],China: Shenzhen,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188655.1~NZ_RILE01000042.1,97.723,1449,RS_GCF_025188655.1,curd (from farmer goat cheese),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_006381855.1~NZ_QFDE01000001.1,97.723,1449,RS_GCF_006381855.1,sourdough,Ireland: Cork,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188485.1~NZ_RIKW01000001.1,97.723,1449,RS_GCF_025188485.1,cheese (Pont l Eveque),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_004354555.1~NZ_PUFH01000005.1,97.723,1449,RS_GCF_004354555.1,none,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188465.1~NZ_RIKX01000020.1,97.723,1449,RS_GCF_025188465.1,cheese (Pont l  Eveque),France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_002115685.1~NZ_NDXG01000009.1,97.723,1449,RS_GCF_002115685.1,from a built environment,USA: New York,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_015277835.1~NZ_CP063830.1,97.723,1449,RS_GCF_015277835.1,yogurts,China,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_025188525.1~NZ_RILA01000071.1,97.723,1449,RS_GCF_025188525.1,goat cheese,France,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum
AB022925.1,RS_GCF_023809725.1~NZ_CP098784.1,97.724,1450,RS_GCF_023809725.1,kimchi,South Korea,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_028619685.1~NZ_JAQPXX010000034.1,97.724,1450,RS_GCF_028619685.1,milk,China: Inner Mongolia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_023744295.1~NZ_JAMRWD010000004.1,97.724,1450,RS_GCF_023744295.1,raw sheep milk,Greece: Epirus,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_019926985.1~NZ_JAGFYI010000067.1,97.724,1450,RS_GCF_019926985.1,Montengrin brine cheese,Montenegro,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_029823215.1~NZ_JAQZAP010000017.1,97.724,1450,RS_GCF_029823215.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_004745755.1~NZ_RQWG01000023.1,97.724,1450,RS_GCF_004745755.1,Mike cake,China: Shanghai,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_028619975.1~NZ_JAQPWF010000013.1,97.724,1450,RS_GCF_028619975.1,yak milk,China: Sichuan,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_002092745.1~NZ_MPLP01000034.1,97.724,1450,RS_GCF_002092745.1,dairy,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_002092565.1~NZ_MPLH01000052.1,97.724,1450,RS_GCF_002092565.1,dairy,Denmark,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,GB_GCA_022482705.1~JAKVOR010000002.1,97.724,1450,GB_GCA_022482705.1,anaerobic bioreactor effluent,USA: Madison; WI,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_023744315.1~NZ_JAMRWE010000003.1,97.724,1450,RS_GCF_023744315.1,raw sheep milk,Greece: Epirus,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_025395125.1~NZ_QVOS01000022.1,97.724,1450,RS_GCF_025395125.1,green chilli,Australia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_018257055.1~NZ_JAERKO010000009.1,97.724,1450,RS_GCF_018257055.1,Kitchen E,USA: Ithaca; NY,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_023743995.1~NZ_JAMRWF010000004.1,97.724,1450,RS_GCF_023743995.1,artisanal Greek Feta cheese,Greece: Epirus,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_009497095.1~NZ_WIPA01000028.1,97.724,1450,RS_GCF_009497095.1,tilapia intestine,Colombia: Llanos and Atlantic,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_024329405.1~NZ_JAGPZI010000056.1,97.724,1450,RS_GCF_024329405.1,Milk,Singapore,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_019927225.1~NZ_JAFREB010000076.1,97.724,1450,RS_GCF_019927225.1,Montengrin brine cheese,Montenegro,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_003346345.1~NZ_QMJK01000028.1,97.724,1450,RS_GCF_003346345.1,bryndza cheese,Slovakia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_028619365.1~NZ_JAQPYD010000010.1,97.724,1450,RS_GCF_028619365.1,milk,China: Xinjiang,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_000234825.3~NC_016805.3,97.724,1450,RS_GCF_000234825.3,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_024329625.1~NZ_JAGPZS010000057.1,97.724,1450,RS_GCF_024329625.1,Milk,Singapore,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_019927245.1~NZ_JAGFYL010000069.1,97.724,1450,RS_GCF_019927245.1,Montengrin brine cheese,Montenegro,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_019927005.1~NZ_JAGFYJ010000070.1,97.724,1450,RS_GCF_019927005.1,Montengrin brine cheese,Montenegro,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_900290155.1~NZ_OKQW01000013.1,97.724,1450,RS_GCF_900290155.1,Tocosh; potatoes naturally fermented in a well near a water spring,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_030269065.1~NZ_BSSJ01000013.1,97.724,1450,RS_GCF_030269065.1,Fermenting string beans,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_028619905.1~NZ_JAQPWO010000047.1,97.724,1450,RS_GCF_028619905.1,yak milk,China: Sichuan,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_000787735.1~NZ_BBPK01000028.1,97.724,1450,RS_GCF_000787735.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_028619505.1~NZ_JAQPYC010000028.1,97.724,1450,RS_GCF_028619505.1,milk,China: Xinjiang,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_003346155.1~NZ_QMJI01000052.1,97.724,1450,RS_GCF_003346155.1,bryndza cheese,Slovakia,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_001570665.1~NZ_BCMO01000050.1,97.724,1450,RS_GCF_001570665.1,none,none,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
AB022925.1,RS_GCF_028619515.1~NZ_JAQPYB010000033.1,97.724,1450,RS_GCF_028619515.1,milk,China: Xinjiang,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc mesenteroides
